rid,customer_id,car_vin,date,odometer,complain
68,180,K4O67BXCD20J1OUL,2025-06-02,237721,check engine light came on
69,84,VC4GTJS1A5UGXBRY,2021-09-16,202274,tire pressure warning keeps coming back
70,361,FVB9EKTR1T05QXS2,2020-07-20,228040,weird vibration at highway speeds
71,497,2YGYZTHQSE0KIVWM,2023-08-21,34840,windshield wipers not working
72,306,E9VAR2PZ6NTPBPZC,2020-06-02,199944,grinding noise from rear wheels
73,11,5S517DXJ17X6XDA7,2025-01-18,235251,fuel efficiency dropped a lot
74,474,76IMG7ZD3Q0E03YI,2021-08-05,234037,oil leak under the car
75,11,L0TA8RD05N9HCZDQ,2022-12-29,215841,car overheating in traffic
76,184,3I9LLIFFCVEDQFC1,2024-08-14,74049,car wont start in the morning
77,406,7U9SSBU7GE3AI6AY,2022-08-07,11485,clutch pedal feels loose
78,9,96GORCPACQ5AH9OG,2020-03-29,83161,brakes feel spongy
79,216,JJTB8QOP82J3TPS8,2023-07-31,40314,car wont start in the morning
80,396,8EGP15CA8ZJSW5PQ,2022-05-03,137653,smoke coming from under hood
81,91,7YZ5ND2OEUT4IEC1,2025-08-02,157644,car overheating in traffic
82,291,PHWHM54XR8PJPF24,2021-08-26,162658,door lock is stuck
83,441,90MWB4LL3K4BK8EJ,2025-09-16,32383,power windows stopped working
84,63,IOFU2NCU22KB8OHL,2020-06-03,191297,ac is blowing warm air
85,172,E5GV7P2A2Q9OJF3C,2024-02-17,91881,tire pressure warning keeps coming back
86,33,Q7KA8OBM5RY6Q2M8,2021-11-01,173436,clutch pedal feels loose
87,361,AH2XJQ2WDIZHW0VQ,2023-05-14,50888,brakes feel spongy
88,21,SB053AKZXFP5KE09,2020-10-09,102739,coolant warning light on
89,157,FPPWC1QY9MBAAXA3,2022-10-10,145913,grinding noise from rear wheels
90,216,Y6D1HFDI3JSTY876,2025-03-26,11282,tire pressure warning keeps coming back
91,399,FH70M9OHDSRS8ANP,2024-04-23,81450,smoke coming from under hood
92,154,2ZNTGG50YQL25S8T,2021-12-24,106915,radio cuts in and out
93,86,7AQ2ANY1YC1L2QJZ,2024-01-01,199775,coolant warning light on
94,98,F51Z58B4JWPGZ5RK,2025-06-17,246586,battery keeps dying overnight
95,382,RGSL55X9E0RAGHKE,2020-09-17,116331,headlights are dim
96,1,VTFQVK8SXFI3UBM9,2021-10-23,8441,abs light is on
97,322,XMOE545VYBJH4OUL,2021-01-20,139642,power windows stopped working
98,172,E5GV7P2A2Q9OJF3C,2023-03-20,174221,abs light is on
99,417,F5SIDASO7KRGI4JW,2023-05-13,211500,clutch pedal feels loose
100,267,FB2FLURMW3UQHWTE,2020-08-27,106345,trunk wont open
101,147,C60CJBMUVHGQK820,2022-04-13,219249,trunk wont open
102,316,WBNWJ6PVOC7501OE,2020-04-15,80445,radio cuts in and out
103,323,XQERBKN3DKVR5NBH,2024-07-17,145512,steering wheel shakes when braking
104,7,1TCFI4PLMVK5SGCS,2020-04-27,57764,suspension feels bouncy
105,297,HYLGOGFXLSRVP0IJ,2023-11-25,228541,tire pressure warning keeps coming back
106,414,QSA11PTKFTUWFV2T,2024-04-23,195318,trunk wont open
107,247,7UXHVDHGUESXNU4V,2022-02-11,151231,squealing noise when turning
108,16,Z0KDN3TN60TLXOUN,2021-05-19,125502,fuel efficiency dropped a lot
109,16,Z0KDN3TN60TLXOUN,2024-11-18,113491,brakes feel spongy
110,0,50OP7XMR8FHYDRGF,2024-06-02,87168,tire pressure warning keeps coming back
111,185,4RPU9GGSOU6NJ2N2,2020-05-11,50585,ac is blowing warm air
112,323,XQERBKN3DKVR5NBH,2022-06-20,183270,battery keeps dying overnight
113,59,P5OOA9CZV7PQOVVI,2022-05-05,23971,radio cuts in and out
114,441,FG79KT10R709Q6OH,2022-06-23,150156,abs light is on
115,243,5I67ZSOOUKIW8X17,2020-03-07,98869,car pulls to the left when braking
116,386,NUSG9L9Q3CYBYC4I,2020-10-22,166026,exhaust is louder than usual
117,108,NLZTWXOL4BKUU5CZ,2023-02-04,84804,clutch pedal feels loose
118,230,SPJ9WRDPLFE19BCD,2023-04-18,76918,engine is making a weird noise
119,109,UMKVGG4NP4D8J2X7,2022-10-01,60388,smell of burning rubber
120,234,1PY6Q9YL16ZV8U0L,2023-05-30,125041,smoke coming from under hood
121,383,RSI7EADGHXTUR8XU,2023-06-12,118844,ac is blowing warm air
122,21,85ZZHJY8GY39BU4U,2024-04-20,33847,oil leak under the car
123,431,QDE7M7H6OQ7QH96Y,2022-06-12,104512,brakes feel spongy
124,159,SOTH4MVKQE4DWZ79,2024-04-11,197692,abs light is on
125,187,X0RTMG7C0Q6ULH3X,2021-10-08,98327,windshield wipers not working
126,493,L9YSU51EPXU7B6NB,2024-12-01,184649,power windows stopped working
127,163,GQQLYZJ0AEOORBT6,2020-07-03,83284,engine is making a weird noise
128,350,XRUTT247O0GXAPLI,2022-01-02,5650,radio cuts in and out
129,242,IRJUTFVJ839AG77Q,2022-05-03,21658,clutch pedal feels loose
130,101,8YJMYVMNEDYL7U4G,2022-11-13,247577,abs light is on
131,394,2BE4N2524GPZBOMV,2021-07-30,131120,transmission slipping between gears
132,347,IEKX6MJ53YXHZKIE,2020-01-04,155120,steering wheel shakes when braking
133,487,N1TCJFCZWKGUY0OF,2020-09-27,66191,battery keeps dying overnight
134,202,IFEZAC2EXVA5E742,2020-12-08,104082,car overheating in traffic
135,464,YQZDUBB9MIT3VHTN,2022-03-21,157111,ac is blowing warm air
136,422,Q6FWTV1DJJZQFE8E,2022-12-03,35004,trunk wont open
137,26,W429KJPQ8SEUTLPF,2025-10-18,142883,headlights are dim
138,26,72I2F8RPJX0WUZLL,2020-09-17,61008,ac is blowing warm air
139,4,8F1N2OJGFHZ52QZS,2023-08-12,8660,steering wheel shakes when braking
140,126,ZYF2EV4JI4UFANS5,2024-11-18,134904,squealing noise when turning
141,259,F225AA35WFW5Q52D,2020-07-31,55939,trunk wont open
142,375,MTXQ531D1KDK2YWF,2020-07-30,136608,check engine light came on
143,99,7UG44C937RUPL5H2,2025-05-21,187638,oil leak under the car
144,113,BSMWPQ82K8RYQF8W,2020-12-11,59035,exhaust is louder than usual
145,285,7ZQPPOAU8P1WKISE,2022-07-26,70580,squealing noise when turning
146,464,YQZDUBB9MIT3VHTN,2021-03-01,49782,suspension feels bouncy
147,409,918SLOMEYL6SS1A2,2020-11-13,214304,coolant warning light on
148,206,PE0HDJ7O9X66D7WD,2024-07-18,16884,windshield wipers not working
149,70,3UMGTHKTGYLEYO3H,2023-05-18,115951,ac is blowing warm air
150,76,DDVXKKXO0SSW74WQ,2020-08-04,224925,squealing noise when turning
151,78,O1LPPJ1N5T844QH2,2020-01-10,175838,ac is blowing warm air
152,87,3Q825Q30ZX815G5F,2020-10-22,69065,car overheating in traffic
153,163,BHON4WBABQ0FOT10,2022-03-14,190264,engine is making a weird noise
154,230,SPJ9WRDPLFE19BCD,2022-01-26,18839,weird vibration at highway speeds
155,44,BEDYEJHDZXQ3P87J,2024-11-03,136649,smoke coming from under hood
156,242,IRJUTFVJ839AG77Q,2020-03-18,243538,door lock is stuck
157,369,6CN8SIWMZAP4VKFT,2023-03-26,49092,radio cuts in and out
158,259,B4EYQ1S4DJ9DV3UY,2021-09-20,80831,engine is making a weird noise
159,230,SPJ9WRDPLFE19BCD,2020-05-30,130933,car pulls to the left when braking
160,332,DUVL911ZSB8LV6TX,2023-08-02,72133,radio cuts in and out
161,26,7GVLHWXPBRRNTYLV,2021-01-25,10005,smoke coming from under hood
162,497,2YGYZTHQSE0KIVWM,2022-10-20,239051,weird vibration at highway speeds
163,92,V06DDG680IUGA4FE,2021-07-09,38744,smoke coming from under hood
164,74,X9DY39CK5B8U8H7B,2020-05-09,14793,exhaust is louder than usual
165,276,EV4DH9UGF10OO1PV,2021-12-22,53284,check engine light came on
166,444,72NS8ERKD0RNGCT2,2020-04-22,41657,car pulls to the left when braking
167,90,MQADW9UFZDEPCGWL,2020-11-05,227910,car pulls to the left when braking
168,399,FH70M9OHDSRS8ANP,2023-06-10,145033,weird vibration at highway speeds
169,496,9W5N9C70PA8JX54P,2022-07-22,55447,windshield wipers not working
170,336,SAJHJXQKD8UR6TIA,2025-10-18,52588,power windows stopped working
171,134,ZC58CU47SOCZDQ7J,2022-09-23,46503,radio cuts in and out
172,37,JS18L9GJ4ANLIOBL,2024-08-13,92958,door lock is stuck
173,98,Q0S5RMJPCZA3SFGH,2022-06-06,38093,steering wheel shakes when braking
174,247,7UXHVDHGUESXNU4V,2023-05-05,83224,fuel efficiency dropped a lot
175,319,LEUUCBL116CZ75T6,2020-01-21,212893,transmission slipping between gears
176,64,3J5SFMZQRSJZO98I,2022-03-02,117564,battery keeps dying overnight
177,336,SAJHJXQKD8UR6TIA,2023-12-31,196281,oil leak under the car
178,125,31OGWRVZ90472UQL,2025-04-23,171895,windshield wipers not working
179,126,ZYF2EV4JI4UFANS5,2024-01-16,178505,transmission slipping between gears
180,175,OZZ9Z76MH8PU9JN0,2022-08-08,222678,car overheating in traffic
181,61,TLH33HW8D09JRD4H,2021-12-28,92715,power windows stopped working
182,230,SPJ9WRDPLFE19BCD,2023-09-23,218404,grinding noise from rear wheels
183,173,SFQBVH0KW3PGSF3Y,2024-05-16,132906,transmission slipping between gears
184,136,DABBAJAQ08DNX80N,2025-09-23,233678,check engine light came on
185,447,VI673KLLZCUH1I8Y,2023-05-14,114180,car pulls to the left when braking
186,327,PVSF5YC9LUERJQEN,2024-02-22,210194,oil leak under the car
187,111,JJ0076EKHI1RD5B2,2024-02-28,227559,transmission slipping between gears
188,68,8FMW4V1FJ2AOY2XD,2023-01-14,208805,tire pressure warning keeps coming back
189,306,3D3513LM7E41OFV1,2023-07-25,193659,door lock is stuck
190,278,XYWWSTIO1K7F5OA3,2024-07-28,59625,ac is blowing warm air
191,31,1PW26RQH7O0ZBO70,2022-10-20,201067,ac is blowing warm air
192,79,XGGMQJ9UJEFUBFD3,2024-05-09,235012,car wont start in the morning
193,226,T8LI72W4OEBMQPJB,2021-02-26,83069,exhaust is louder than usual
194,118,GSV5E033DZQQ5EB9,2025-02-17,46065,smoke coming from under hood
195,83,A70TGO5AWLGITIZ7,2022-07-08,56515,exhaust is louder than usual
196,101,72TH1FPHMZOIM2CA,2023-03-19,177844,squealing noise when turning
197,58,JS08RWQ1CGEDBT8B,2024-10-23,136127,oil leak under the car
198,38,Z8FTMJN8B3UMAM00,2024-08-18,11850,suspension feels bouncy
199,99,KHG4G7NIE3FKP96A,2021-08-25,196556,steering wheel shakes when braking
200,172,E5GV7P2A2Q9OJF3C,2022-08-26,159727,fuel efficiency dropped a lot
201,77,C6SEURANDDEPTLT0,2021-01-28,113863,car overheating in traffic
202,496,9W5N9C70PA8JX54P,2024-05-31,31609,abs light is on
203,433,W0PN524KSKWECY9A,2025-03-06,187095,brakes feel spongy
204,42,W165AEJT70EBPY9E,2025-07-29,11061,suspension feels bouncy
205,399,FH70M9OHDSRS8ANP,2024-04-03,39288,check engine light came on
206,154,2ZNTGG50YQL25S8T,2020-01-17,208165,car pulls to the left when braking
207,267,FB2FLURMW3UQHWTE,2025-05-28,218521,coolant warning light on
208,28,0JRX2N75WLN2OTG5,2021-07-27,239943,power windows stopped working
209,267,FB2FLURMW3UQHWTE,2021-06-23,35887,car pulls to the left when braking
210,124,9VVN5X48PW5K0JJS,2022-03-15,210456,grinding noise from rear wheels
211,436,67LM8E49ITE92SRL,2022-01-23,109034,exhaust is louder than usual
212,78,0P5RUKCASSSLSLV3,2021-08-13,224762,radio cuts in and out
213,246,JC6ON5ZZ679AQLO3,2023-04-29,106869,car overheating in traffic
214,61,TLH33HW8D09JRD4H,2022-02-22,245428,fuel efficiency dropped a lot
215,5,TA3RUNYN6IRJ9WR6,2023-05-16,41357,engine is making a weird noise
216,350,XRUTT247O0GXAPLI,2022-12-10,220130,rough idle at stoplights
217,7,1TCFI4PLMVK5SGCS,2021-03-25,180051,transmission slipping between gears
218,78,GKHVLUCNJ0HYL77V,2024-04-18,189160,trunk wont open
219,66,0T51LC8A4OC1CQB7,2024-08-06,28181,headlights are dim
220,65,6GSKBOJAXNHRC4HM,2022-07-07,112923,weird vibration at highway speeds
221,30,YOTWG7NFDINU31EI,2021-03-30,162307,check engine light came on
222,249,ND6BWBEM0TPI70HK,2021-11-26,33163,car overheating in traffic
223,103,PSSCP9KJYMJBT35Y,2024-07-01,34776,smell of burning rubber
224,331,VC1FRF899OFPVIMI,2020-05-18,196727,smell of burning rubber
225,197,KMSX54RJSXFOH9MB,2022-08-06,64355,battery keeps dying overnight
226,20,8YDR3UES2FX0ZKWI,2024-09-13,129842,clutch pedal feels loose
227,464,81JMBPTPDWR1XFHS,2023-01-25,184739,coolant warning light on
228,99,5O5CVHJOBEIFDD56,2022-12-22,16951,brakes feel spongy
229,349,YP3HBRBJEQVVIAA2,2024-11-13,231748,car wont start in the morning
230,80,EJEBHBW9KCKWDHX5,2020-10-29,14882,battery keeps dying overnight
231,132,80TW87S34876KE1Q,2024-06-28,32192,engine is making a weird noise
232,176,E07FPY1AELDWQXKE,2020-04-12,207285,check engine light came on
233,149,7TNQETMNI3GOM673,2020-06-07,239260,ac is blowing warm air
234,483,ONDHKBRJIGLG08YV,2024-09-04,228665,tire pressure warning keeps coming back
235,91,7YZ5ND2OEUT4IEC1,2020-05-15,245118,radio cuts in and out
236,348,GJVSDBIDE6UITJ5Z,2023-04-10,69604,ac is blowing warm air
237,86,ZW1FU5X012GRDMT2,2025-08-17,72585,abs light is on
238,30,B20UC87NXP0JF6DN,2022-12-05,150101,abs light is on
239,389,THR3NK8PQEQ7Z7E5,2023-07-31,59926,weird vibration at highway speeds
240,51,1HGAV42T8LLIHKPJ,2025-05-12,21091,grinding noise from rear wheels
241,34,1FS324ERTL15E166,2021-02-12,132313,weird vibration at highway speeds
242,132,80TW87S34876KE1Q,2020-11-23,20403,exhaust is louder than usual
243,464,81JMBPTPDWR1XFHS,2020-12-19,229188,suspension feels bouncy
244,137,IP35T54GYLBI18A2,2021-07-07,58288,suspension feels bouncy
245,417,F5SIDASO7KRGI4JW,2020-03-07,247803,ac is blowing warm air
246,183,07IRJG107R925DSI,2020-01-18,180376,transmission slipping between gears
247,29,GF86HOGDPL4CKTF6,2021-01-11,80845,car pulls to the left when braking
248,338,CR0VHV1NM3V16XEG,2023-05-10,228106,exhaust is louder than usual
249,74,X9DY39CK5B8U8H7B,2020-11-03,249812,smell of burning rubber
250,77,RLCRE8UA2HQG2XGD,2025-05-05,119331,smoke coming from under hood
251,393,QW8EVRC0ERJE4S4M,2024-04-07,133675,steering wheel shakes when braking
252,87,3Q825Q30ZX815G5F,2020-10-20,163648,oil leak under the car
253,71,2Z6M81RJWPX5ZJ2O,2025-08-07,14832,steering wheel shakes when braking
254,59,P5OOA9CZV7PQOVVI,2024-04-01,177391,car pulls to the left when braking
255,177,YWGD4X4PZJ42RL1E,2022-10-18,49386,windshield wipers not working
256,297,MU6U4PLLGF309HSU,2023-03-09,96318,abs light is on
257,373,KTI221XJ7WWUDQVD,2022-08-30,191118,brakes feel spongy
258,242,GPYNYJ0UFO2HOQ5E,2020-07-29,91899,squealing noise when turning
259,160,89QSNVYF2ZQOYGWO,2022-01-29,178510,power windows stopped working
260,144,3QW752E77DYVGDGF,2022-11-03,148620,clutch pedal feels loose
261,210,H0CD8A2IBCLTRH9V,2023-08-16,48835,transmission slipping between gears
262,55,VPIG3YVR2EU4KB57,2023-07-01,198880,abs light is on
263,51,D05JH2MKV0DSZRK6,2024-01-28,41419,steering wheel shakes when braking
264,316,WBNWJ6PVOC7501OE,2025-03-25,249904,grinding noise from rear wheels
265,56,ZD43W95CH4FODMJM,2023-02-04,189755,rough idle at stoplights
266,314,G770XDHJ5SC36U9C,2024-05-18,116652,fuel efficiency dropped a lot
267,176,E07FPY1AELDWQXKE,2020-05-05,20297,car overheating in traffic
268,416,8VGZSXJZVUV3CB0I,2025-01-23,118426,car overheating in traffic
269,90,MQADW9UFZDEPCGWL,2024-02-06,59580,car overheating in traffic
270,214,O8G8HZMVYD47DZNA,2021-08-19,237393,smoke coming from under hood
271,272,IE4ACJOD8WACEQRQ,2020-12-19,172287,headlights are dim
272,389,THR3NK8PQEQ7Z7E5,2021-06-29,110960,smell of burning rubber
273,97,THETKCAKDP3CA4BD,2024-02-12,111192,engine is making a weird noise
274,362,J8PMOZKNHPVRWBRB,2020-02-02,234104,car wont start in the morning
275,168,NKOWYPSWLDOQ59B9,2023-04-19,26758,smoke coming from under hood
276,97,THETKCAKDP3CA4BD,2022-06-30,34158,engine is making a weird noise
277,16,Z0KDN3TN60TLXOUN,2022-01-07,230744,battery keeps dying overnight
278,39,XXCX9KNBZ9H0UNL0,2021-02-24,208955,abs light is on
279,2,9EP0O6H5L3XFULHZ,2024-08-13,172292,squealing noise when turning
280,56,ZD43W95CH4FODMJM,2023-01-18,20465,suspension feels bouncy
281,99,KHG4G7NIE3FKP96A,2021-07-30,40540,engine is making a weird noise
282,154,2ZNTGG50YQL25S8T,2022-02-26,49171,rough idle at stoplights
283,420,V47LZN9UHJPKHF33,2021-10-22,97058,ac is blowing warm air
284,498,C0TK1QQFVWUO11K0,2021-08-29,149759,transmission slipping between gears
285,336,SAJHJXQKD8UR6TIA,2020-02-23,79424,coolant warning light on
286,407,DKITMAF9H3FHVFIJ,2021-09-29,90653,rough idle at stoplights
287,223,VK1PBCD6FXNOQ37K,2023-05-02,163858,check engine light came on
288,0,4RKGJZOWI1T2EP76,2020-06-08,29187,radio cuts in and out
289,71,TGV46Q71T6JLDJ7P,2021-04-19,123586,oil leak under the car
290,444,KBEFQ796EW8257GE,2021-04-17,189688,tire pressure warning keeps coming back
291,331,VC1FRF899OFPVIMI,2020-05-01,179853,clutch pedal feels loose
292,293,4DX6UZS1XKE1KWON,2024-12-19,88541,tire pressure warning keeps coming back
293,162,I2I397I6YXV2MEOS,2025-12-13,205839,grinding noise from rear wheels
294,338,T87K9TPZ1J8Q9I6K,2024-11-23,212498,steering wheel shakes when braking
295,91,7YZ5ND2OEUT4IEC1,2020-06-16,133286,fuel efficiency dropped a lot
296,139,PAVAJIMMNSTOUIFJ,2021-06-06,12657,tire pressure warning keeps coming back
297,303,0JI1T3UZZZULYZLG,2020-10-25,228212,engine is making a weird noise
298,17,ZXT9QUBWRP8GUUCM,2023-03-24,168069,tire pressure warning keeps coming back
299,30,YOTWG7NFDINU31EI,2020-11-12,83979,fuel efficiency dropped a lot
300,292,T1OXHFDXK31WBHTF,2025-09-22,211213,smell of burning rubber
301,259,F225AA35WFW5Q52D,2023-03-25,73848,car wont start in the morning
302,36,0UT100WNT0K9875T,2025-02-03,214680,steering wheel shakes when braking
303,102,XUWRIENW34Y6FFY3,2020-05-29,149337,transmission slipping between gears
304,113,BSMWPQ82K8RYQF8W,2024-04-28,10917,oil leak under the car
305,210,H0CD8A2IBCLTRH9V,2020-04-12,244265,door lock is stuck
306,361,FVB9EKTR1T05QXS2,2021-04-17,151357,door lock is stuck
307,162,I2I397I6YXV2MEOS,2024-12-26,63174,battery keeps dying overnight
308,220,1R3YQS5PYYZ5YMIT,2020-02-26,110512,exhaust is louder than usual
309,76,F27E6L8XCGMIURPV,2023-11-11,89715,tire pressure warning keeps coming back
310,488,5LFOS9DJ9IHJDQDF,2023-06-07,160282,trunk wont open
311,190,DL7FKNDG1JRJ5XFE,2020-01-03,53908,clutch pedal feels loose
312,194,KLI7V12J21TELO9L,2020-07-19,153488,trunk wont open
313,436,67LM8E49ITE92SRL,2021-09-19,239320,rough idle at stoplights
314,77,VWTKCNL384XG08GS,2024-03-25,8872,brakes feel spongy
315,373,3FRB7EI5R8VO4KVF,2024-09-17,91916,headlights are dim
316,185,1MYLQJJBFSA5UZLZ,2023-01-24,123580,car overheating in traffic
317,153,61B7PXJBC8VDRQNT,2024-06-22,26756,exhaust is louder than usual
318,81,WWNQA4P3PRNO5GTX,2021-01-16,113625,tire pressure warning keeps coming back
319,496,9W5N9C70PA8JX54P,2020-10-10,179032,steering wheel shakes when braking
320,10,EF2IBNAJFH71UZN4,2021-07-27,20358,car overheating in traffic
321,19,QBVNPY1AJKPQKBE0,2023-02-22,139225,weird vibration at highway speeds
322,410,EE2ABG9SHO5D5AFQ,2021-10-20,166471,windshield wipers not working
323,187,X0RTMG7C0Q6ULH3X,2023-01-08,82531,steering wheel shakes when braking
324,131,SV5ITMTJLEGP4H2H,2022-01-08,230360,exhaust is louder than usual
325,4,M7DBFPMGP6YWK5JR,2022-01-24,78920,oil leak under the car
326,50,12JF4CIWL3RFJL9V,2022-05-20,50641,steering wheel shakes when braking
327,351,U61O85VO1TK5EZS9,2020-05-10,206010,battery keeps dying overnight
328,374,BAYKIS11D2MRMTXJ,2021-05-31,190974,steering wheel shakes when braking
329,420,V47LZN9UHJPKHF33,2022-10-07,94655,smoke coming from under hood
330,320,74QR14VUYV2EMY9T,2025-12-29,90885,exhaust is louder than usual
331,332,DUVL911ZSB8LV6TX,2020-04-27,78869,power windows stopped working
332,336,SAJHJXQKD8UR6TIA,2024-03-31,152613,engine is making a weird noise
333,489,45YRWVTKH861PQIP,2024-02-20,48133,headlights are dim
334,349,YP3HBRBJEQVVIAA2,2022-05-22,204986,oil leak under the car
335,43,6N1RWU1ESEVGC0QT,2023-10-16,167682,door lock is stuck
336,80,VR40DM9IF826BHYZ,2022-01-12,99066,tire pressure warning keeps coming back
337,240,GTEFR6MQW7673UBL,2021-07-24,89451,rough idle at stoplights
338,245,0Z7Q0I9BL14HOAE5,2023-02-18,17082,engine is making a weird noise
339,343,7KBNKFVDHLZ02Z7N,2022-01-22,107841,abs light is on
340,380,ZJFY4W8TR98W07FI,2021-10-08,121030,car pulls to the left when braking
341,480,LM576M2YVP6MPB4D,2021-07-22,46149,clutch pedal feels loose
342,338,T87K9TPZ1J8Q9I6K,2020-12-22,84176,squealing noise when turning
343,139,PAVAJIMMNSTOUIFJ,2021-05-03,242285,car overheating in traffic
344,62,5J1VRKF4HT69A143,2021-12-22,159754,abs light is on
345,61,IRO7YY0KZ6XNOMB4,2022-05-09,163367,car wont start in the morning
346,2,CGWFHDV37IC0LZIG,2021-05-31,63010,clutch pedal feels loose
347,458,CQPHLI5L692TULGE,2021-05-11,61478,clutch pedal feels loose
348,276,EV4DH9UGF10OO1PV,2020-07-03,136101,steering wheel shakes when braking
